ID,name,diet,flavour_ID,course_ID,state_ID
1,Balu shahi,1,5,4,25
2,Boondi,1,5,4,19
3,Gajar ka halwa,1,5,4,18
4,Ghevar,1,5,4,19
5,Gulab jamun,1,5,4,25
6,Imarti,1,5,4,25
7,Jalebi,1,5,4,23
8,Kaju katli,1,5,4,1
9,Kalakand,1,5,4,25
10,Kheer,1,5,4,1
11,Laddu,1,5,4,1
12,Lassi,1,5,4,18
13,Nankhatai,1,5,4,1
14,Petha,1,5,4,23
15,Phirni,1,5,4,17
16,Rabri,1,5,4,23
17,Sheera,1,5,4,13
18,Singori,1,5,4,24
19,Sohan halwa,1,5,4,23
20,Sohan papdi,1,5,4,13
21,Chhena jalebi,1,5,4,17
22,Chhena kheeri,1,5,4,17
23,Chhena poda,1,5,4,17
24,Cham cham,1,5,4,25
25,Kheer sagar,1,5,4,17
26,Ledikeni,1,5,4,25
27,Lyangcha,1,5,4,3
28,Malapua,1,5,4,4
29,Mihidana,1,5,4,25
30,Misti doi,1,5,4,25
31,Pantua,1,5,4,25
32,Pithe,1,5,4,3
33,Rasabali,1,5,4,17
34,Ras malai,1,5,4,25
35,Rasgulla,1,5,4,25
36,Sandesh,1,5,4,25
37,Adhirasam,1,5,4,25
38,Ariselu,1,5,4,2
39,Bandar laddu,1,5,4,2
40,Chikki,1,5,4,13
41,Dharwad pedha,1,5,4,10
42,Double ka meetha,1,5,4,21
43,Gavvalu,1,5,4,2
44,Kakinada khaja,1,5,4,2
45,Kuzhi paniyaram,1,5,4,11
46,Mysore pak,1,5,4,10
47,Obbattu holige,1,5,3,10
48,Palathalikalu,1,5,4,2
49,Poornalu,1,5,4,2
50,Pongal,1,5,4,20
51,Pootharekulu,1,5,4,2
52,Qubani ka meetha,1,5,4,21
53,Sheer korma,1,5,4,21
54,Unni Appam,1,5,4,20
55,Kajjikaya,1,5,4,2
56,Anarsa,1,5,4,13
57,Basundi,1,5,4,7
58,Dhondas,1,5,4,13
59,Doodhpak,1,5,4,7
60,Mahim halwa,1,5,4,13
61,Modak,1,5,4,13
62,Shankarpali,1,5,4,13
63,Shrikhand,1,5,4,13
64,Sutar feni,1,5,4,13
65,Maach Jhol,2,4,3,3
66,Pork Bharta,2,4,3,22
67,Chak Hao Kheer,1,5,4,14
68,Galho,2,4,3,15
69,Aloo gobi,1,4,3,18
70,Aloo tikki,1,4,3,18
71,Aloo matar,1,4,3,18
72,Aloo methi,1,2,3,18
73,Aloo shimla mirch,1,4,3,18
74,Bhatura,1,4,3,18
75,Bhindi masala,1,4,3,18
76,Biryani,2,4,3,21
77,Butter chicken,2,4,3,16
78,Chana masala,1,4,3,18
79,Chapati,1,1,3,13
80,Chicken razala,2,4,3,25
81,Chicken Tikka masala,2,4,3,18
82,Chicken Tikka,2,4,2,18
